text,file,line,kind,property,ocr_related,notes
显示图像识别结果,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,368,xaml,Text,True,
实时显示各种图像识别的结果,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,373,xaml,Text,True,
启用保存截图功能（开发者）,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,761,xaml,Text,True,
截图快捷键,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,800,xaml,Text,True,
截图功能主要用于错误排查，训练素材快速获取等开发相关功能,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,805,xaml,Text,True,
截图遮盖UID,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,826,xaml,Text,True,
生成的截图会遮盖右下角的UID区域,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,831,xaml,Text,True,
保存奖励识别截图,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,851,xaml,Text,True,
【2-100】数字越小传送操作越快，会影响拖图、滚轮缩放和传送过程中的短等待；如果出现卡顿或识别不稳定，请提高这个数值,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1149,xaml,Text,True,
OCR 配置,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1973,xaml,Text,True,
OCR 相关配置，面向进阶用户。,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1978,xaml,Text,True,
PaddleOCR模型,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1995,xaml,Text,True,
查看当前识别到的位置,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,2044,xaml,Text,True,
BetterGI 截图器，启动！,BetterGenshinImpact/View/Pages/HomePage.xaml,89,xaml,Text,True,
截图模式,BetterGenshinImpact/View/Pages/HomePage.xaml,136,xaml,Text,True,
WindowsGraphicsCapture 截图方式启用位图缓存,BetterGenshinImpact/View/Pages/HomePage.xaml,198,xaml,Text,True,
测试功能，测试几种截图模式的效果,BetterGenshinImpact/View/Pages/HomePage.xaml,269,xaml,Text,True,
启动截图器时，如果原神未启动，则自动启动原神。,BetterGenshinImpact/View/Pages/HomePage.xaml,363,xaml,Text,True,
触发后会识别当前出战角色，并根据配置执行对应的宏,BetterGenshinImpact/View/Pages/MacroSettingsPage.xaml,45,xaml,Text,True,
识别当前页面的领取按钮或礼物图标并点击，需要配置快捷键进行触发,BetterGenshinImpact/View/Pages/MacroSettingsPage.xaml,180,xaml,Text,True,
通知时包含截图,BetterGenshinImpact/View/Pages/NotificationSettingsPage.xaml,67,xaml,Text,True,
总是在通知中包含截图,BetterGenshinImpact/View/Pages/NotificationSettingsPage.xaml,72,xaml,Text,True,
截图编码,BetterGenshinImpact/View/Pages/NotificationSettingsPage.xaml,1988,xaml,Text,True,
启用奖励识别,BetterGenshinImpact/View/Pages/OneDragonFlowPage.xaml,1126,xaml,Text,True,
每轮领取后识别奖励名称与数量，任务结束打印汇总,BetterGenshinImpact/View/Pages/OneDragonFlowPage.xaml,1131,xaml,Text,True,
启用奖励识别,BetterGenshinImpact/View/Pages/OneDragonFlowPage.xaml,1369,xaml,Text,True,
每轮领取后识别奖励名称与数量，任务结束打印汇总,BetterGenshinImpact/View/Pages/OneDragonFlowPage.xaml,1374,xaml,Text,True,
启用OCR伐木数量限制（需1080P以上分辨率）,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,277,xaml,Text,True,
伐木后OCR识别并累计木材数，达到上限后自动停止伐木,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,282,xaml,Text,True,
启用奖励识别,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,1634,xaml,Text,True,
每轮领取后识别奖励名称与数量（图标匹配+OCR双路），任务结束打印汇总,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,1639,xaml,Text,True,
启用奖励识别,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,1909,xaml,Text,True,
每轮领取后识别奖励名称与数量（图标匹配+OCR双路），任务结束打印汇总,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,1914,xaml,Text,True,
队伍无法被识别时，请按顺序填写队伍内角色名称，逗号分割,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,2332,xaml,Text,True,
超过这个时间将自动提竿，并重新识别并选择鱼饵进行抛竿,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,2433,xaml,Text,True,
关键帧保存截图（开发者）,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,2515,xaml,Text,True,
在流程判断的关键时刻保存当时的截图，供分析判断。会大量写入，非调试时请关闭。需要启用保存截图功能,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,2520,xaml,Text,True,
在手动烹饪界面运行，自动识别并点击结束烹饪,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,3359,xaml,Text,True,
每次截图检测的时间间隔，最小 1ms,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,3390,xaml,Text,True,
测试识别效果,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,3484,xaml,Text,True,
识别失败策略,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,3639,xaml,Text,True,
识别单个圣遗物面板信息失败时，是跳过还是终止,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,3644,xaml,Text,True,
测试识别效果,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,3892,xaml,Text,True,
打开时，将不再识别具体拾取内容，黑、白名单会失效,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,76,xaml,Text,True,
选择自动拾取文字识别引擎,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,96,xaml,Text,True,
"Paddle可识别所有文字,速度慢,消耗少;Yap可识别部分文字,快且准,消耗大",BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,101,xaml,Text,True,
仅在后台模式生效，识别到对话结束后会自动激活原神窗口,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,281,xaml,Text,True,
普通用户请不要修改此配置，需要根据文字识别耗时配置，太低会导致点击失败,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,986,xaml,Text,True,
普通用户请不要修改此配置，不建议低于80ms，太低会导致传送按钮识别不到,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,1012,xaml,Text,True,
填写此项，为指定的角色配置未识别到 CD 数字时的默认值。如玛薇卡开 E 会显示摩托车，识别不到CD。,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,1168,xaml,Text,True,
使用战技时也进行一次识别，否则仅在切人时触发,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,1195,xaml,Text,True,
实时识别当前出战角色，长按快捷后，循环执行当前角色战斗宏,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,1556,xaml,Text,True,
普通用户请不要修改此配置，需要根据文字识别耗时配置，太低会导致点击失败,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,1586,xaml,Text,True,
普通用户请不要修改此配置，不建议低于80ms，太低会导致传送按钮识别不到,BetterGenshinImpact/View/Pages/TriggerSettingsPage.xaml,1615,xaml,Text,True,
强制OCR使用CPU,BetterGenshinImpact/View/Pages/View/HardwareAccelerationView.xaml,128,xaml,Text,True,
刷新,BetterGenshinImpact/View/Windows/ArtifactOcrDialog.xaml,56,xaml,Content,True,
退出,BetterGenshinImpact/View/Windows/ArtifactOcrDialog.xaml,61,xaml,Content,True,
"为指定的角色配置未识别到 CD 数字时的默认值。如玛薇卡开 E 会显示摩托车，识别不到 CD 。
仅填写了角色名的角色将使用默认 CD。",BetterGenshinImpact/View/Windows/SkillCdConfigWindow.xaml,45,xaml,Text,True,
快速选择,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.cs,79,cs,WithCultureGet,True,
1星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.cs,82,cs,WithCultureGet,True,
2星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.cs,83,cs,WithCultureGet,True,
3星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.cs,84,cs,WithCultureGet,True,
4星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.cs,85,cs,WithCultureGet,True,
挑战达成,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,100,cs,WithCultureGet,True,
自动退出,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,101,cs,WithCultureGet,True,
跳过,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,102,cs,WithCultureGet,True,
地脉异常,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,103,cs,WithCultureGet,True,
点击任意位置关闭,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,104,cs,WithCultureGet,True,
匹配挑战,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,105,cs,WithCultureGet,True,
快速编队,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,106,cs,WithCultureGet,True,
限时全部开放,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,107,cs,WithCultureGet,True,
限时开放,BetterGenshinImpact/GameTask/AutoDomain/AutoDomainTask.cs,108,cs,WithCultureGet,True,
钓鱼,BetterGenshinImpact/GameTask/AutoFishing/AutoFishingTask.cs,372,cs,WithCultureGet,True,
钓鱼,BetterGenshinImpact/GameTask/AutoFishing/AutoFishingTask.cs,447,cs,WithCultureGet,True,
上钩,BetterGenshinImpact/GameTask/AutoFishing/Behaviours.cs,734,cs,WithCultureGet,True,
读取拾取黑/白名单失败，请确认修改后的拾取黑/白名单内容格式是否正确！,BetterGenshinImpact/GameTask/AutoPick/AutoPickTrigger.cs,101,cs,ThemedMessageBox,True,
读取拾取黑/白名单失败，请确认修改后的拾取黑/白名单内容格式是否正确！,BetterGenshinImpact/GameTask/AutoPick/AutoPickTrigger.cs,121,cs,ThemedMessageBox,True,
读取拾取黑/白名单失败，请确认修改后的拾取黑/白名单内容格式是否正确！,BetterGenshinImpact/GameTask/AutoPick/AutoPickTrigger.cs,141,cs,ThemedMessageBox,True,
读取自动剧情默认暂停点击关键词列表失败，请确认修改后的自动剧情默认暂停点击关键词内容格式是否正确！,BetterGenshinImpact/GameTask/AutoSkip/AutoSkipTrigger.cs,141,cs,ThemedMessageBox,True,
读取自动剧情暂停点击关键词列表失败，请确认修改后的自动剧情暂停点击关键词内容格式是否正确！,BetterGenshinImpact/GameTask/AutoSkip/AutoSkipTrigger.cs,155,cs,ThemedMessageBox,True,
读取自动剧情优先点击选项列表失败，请确认修改后的自动剧情优先点击选项内容格式是否正确！,BetterGenshinImpact/GameTask/AutoSkip/AutoSkipTrigger.cs,169,cs,ThemedMessageBox,True,
复苏,BetterGenshinImpact/GameTask/Common/BgiVision/BvStatus.cs,259,cs,WithCultureGet,True,
今日奖励已领取,BetterGenshinImpact/GameTask/Common/Job/CheckRewardsTask.cs,33,cs,WithCultureGet,True,
委托,BetterGenshinImpact/GameTask/Common/Job/ClaimEncounterPointsRewardsTask.cs,33,cs,WithCultureGet,True,
每日,BetterGenshinImpact/GameTask/Common/Job/GoToAdventurersGuildTask.cs,37,cs,WithCultureGet,True,
凯瑟琳,BetterGenshinImpact/GameTask/Common/Job/GoToAdventurersGuildTask.cs,38,cs,WithCultureGet,True,
探索,BetterGenshinImpact/GameTask/Common/Job/GoToAdventurersGuildTask.cs,39,cs,WithCultureGet,True,
合成,BetterGenshinImpact/GameTask/Common/Job/GoToCraftingBenchTask.cs,45,cs,WithCultureGet,True,
阿圆,BetterGenshinImpact/GameTask/Common/Job/GoToSereniteaPotTask.cs,55,cs,WithCultureGet,True,
壶灵,BetterGenshinImpact/GameTask/Common/Job/GoToSereniteaPotTask.cs,56,cs,WithCultureGet,True,
<壶灵>,BetterGenshinImpact/GameTask/Common/Job/GoToSereniteaPotTask.cs,57,cs,WithCultureGet,True,
信任,BetterGenshinImpact/GameTask/Common/Job/GoToSereniteaPotTask.cs,58,cs,WithCultureGet,True,
洞天百宝,BetterGenshinImpact/GameTask/Common/Job/GoToSereniteaPotTask.cs,59,cs,WithCultureGet,True,
再见,BetterGenshinImpact/GameTask/Common/Job/GoToSereniteaPotTask.cs,60,cs,WithCultureGet,True,
平均截图耗时:,BetterGenshinImpact/View/CaptureTestWindow.xaml.cs,35,cs,string-literal,True,
截图耗时:,BetterGenshinImpact/View/CaptureTestWindow.xaml.cs,68,cs,string-literal,True,
截图失败,BetterGenshinImpact/View/CaptureTestWindow.xaml.cs,92,cs,string-literal,True,
当前游戏分辨率不是16:9，一条龙、配队识别、地图传送、地图追踪等所有独立任务与全自动任务相关功能，都将会无法正常使用！,BetterGenshinImpact/View/MaskWindow.xaml.cs,299,cs,string-literal,True,
检测到 MSI Afterburner 正在运行，如果信息位于特定UI上遮盖图像识别要素可能导致识别失败，请关闭MSI Afterburner 或者调整信息位置后重试！,BetterGenshinImpact/View/MaskWindow.xaml.cs,313,cs,string-literal,True,
匹配,BetterGenshinImpact/View/Windows/ArtifactOcrDialog.xaml.cs,77,cs,string-literal,True,
不匹配,BetterGenshinImpact/View/Windows/ArtifactOcrDialog.xaml.cs,77,cs,string-literal,True,
自动分解圣遗物-OCR识别异常,BetterGenshinImpact/View/Windows/ArtifactOcrDialog.xaml.cs,89,cs,string-literal,True,
识别失败,BetterGenshinImpact/View/Windows/ArtifactOcrDialog.xaml.cs,92,cs,string-literal,True,
截图失败,BetterGenshinImpact/View/Windows/PictureInPictureWindow.xaml.cs,80,cs,string-literal,True,
PaddleOcr预热结果:,BetterGenshinImpact/ViewModel/MainWindowViewModel.cs,450,cs,string-literal,True,
游戏截图,BetterGenshinImpact/ViewModel/Pages/HotKeyPageViewModel.cs,382,cs,string-literal,True,
请先在启动页，启动截图器再使用本功能,BetterGenshinImpact/ViewModel/Pages/KeyMouseRecordPageViewModel.cs,86,cs,string-literal,True,
截图器供图,BetterGenshinImpact/ViewModel/Pages/TriggerSettingsPageViewModel.cs,41,cs,string-literal,True,
